gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Cluster
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,1301,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,770,1
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,84,0
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,733,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,479,0
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,3129,0
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,822,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,1347,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,1367,2
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,1566,1
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,2478,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,1470,1
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,2410,2
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,2191,2
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,1217,2
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,3052,2
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,24,1
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,2934,2
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,2274,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,749,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,1716,0
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,878,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,852,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,1574,2
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,1329,1
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,499,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,2064,2
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,1338,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,2652,2
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,97,0
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,2767,2
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,709,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,760,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,853,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,1954,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,2904,2
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,1415,0
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,1590,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,1591,2
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,105,0
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,2067,1
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,2111,2
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,1828,1
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,2105,2
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,3348,2
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,1720,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,3336,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,422,0
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,1841,2
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,1852,2
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,1689,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,410,0
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,669,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,2639,0
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,1932,2
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,668,0
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,2635,2
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,2858,2
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,3250,1
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,3044,2
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,2045,2
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,2318,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,1325,1
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,3325,1
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,3204,0
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,1079,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,1631,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,1109,2
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,3295,1
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,3235,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,2122,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,96,1
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,2863,2
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,407,1
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,678,1
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,2577,2
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,1219,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,2088,1
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,927,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,219,1
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,3056,0
